# NEFT 仿真实验日志
实验名 (experiment.name): medium-scale-relay_handoff
启动时间:                 2026-05-27 13:28:03
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\medium.yaml

---- 事件日志 ----
[2026-05-27 13:28:03] [START] Experiment 'medium-scale-relay_handoff' started.
[2026-05-27 13:28:03] [INFO] [HEADLESS] mode=dynamic, strategy=relay_handoff, fleet_size=6, stations=2, initial_tasks=5, task_budget=80, max_sim_seconds=7200, task_seed=replay=F:/Data Structure/NEFT-System-main/NEFT-System/log/benchmarks/dynamic/medium/seed_1/composite_score/task_generation_seed.yaml, seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff\task_generation_seed.yaml
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=20520s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=20880s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=21240s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=21600s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=21960s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=0 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=22320s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=22680s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=23040s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=23400s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=1 charging=3
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=23760s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=24120s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=24480s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=24840s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=1 moving=3 charging=2
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=25200s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=25560s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-27 13:28:10] [PROGRESS] sim_elapsed=25920s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=26280s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=26640s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=27000s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=27360s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=27720s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=28080s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=28440s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=28800s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=29160s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=29520s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=29880s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=30240s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=30600s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=30960s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=31320s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=31680s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=32040s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=32400s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=32760s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=33120s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=33480s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:11] [PROGRESS] sim_elapsed=33840s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=34200s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=34560s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=34920s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=35280s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=0 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=35640s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=1 charging=3
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=36000s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=36360s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=36720s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=37080s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=1 charging=3
